source_row,index,valid,issues,x_mm,y_mm,z_mm,r11,r12,r13,r21,r22,r23,r31,r32,r33
88,88,True,,1055.1482621183031,-367.9461884347461,1028.1858962621518,-0.28497968590725004,0.07782996001379312,0.9553685550322746,-0.7805917845229089,0.559599302089361,-0.2784332721433285,-0.556294027071607,-0.8251006716912498,-0.09872100596682902
89,89,True,,1057.4210956994666,-368.6082256083064,1026.7899004416633,-0.2787008782799576,0.08920524087507703,0.95622604307057,-0.7890428367720392,0.5463365331454261,-0.280940908892546,-0.5474826227239667,-0.8328017876728269,-0.08187771530905358
90,90,True,,1059.9351322491175,-368.4353661167781,1025.4784225128449,-0.2712901795616574,0.10148529775260527,0.9571323695359324,-0.7947397245431487,0.5373376608170947,-0.28223573214724806,-0.542946045852149,-0.8372388981692609,-0.06512003290722564
91,91,True,,1062.3871473973907,-368.17103883411846,1024.264060370897,-0.26422771829540154,0.11345444257622479,0.9577639596185086,-0.8000617733646994,0.5287805398574135,-0.2833589586878006,-0.5385952763299529,-0.8411416231098189,-0.04894791300189712
92,92,True,,1064.158678796105,-373.4251076069985,1022.3971640776376,-0.26126464671096467,0.12291661339073248,0.9574091552369592,-0.821335436211454,0.4927599796243369,-0.2873946828039164,-0.5070984969434789,-0.8614401364187627,-0.027784991712942617
93,93,True,,1065.5114753160915,-378.6749973048892,1020.9982291902825,-0.260100217897304,0.13055996608347825,0.9567141537084398,-0.8410258374419035,0.45613109804190266,-0.29089510507094013,-0.47436633249517196,-0.8802832025293731,-0.008835493178691601
94,94,True,,1067.393897896982,-378.51737770358847,1020.1450826701356,-0.2558790808185594,0.14008705084176928,0.9565048427404353,-0.8457842106555528,0.4467303541686924,-0.2916865778024047,-0.46816125961597116,-0.8836331868206232,0.004174463320835597
95,95,True,,1069.5930742782705,-378.43108318051696,1019.223415311555,-0.25101158124904543,0.15118668783753994,0.9561044772929203,-0.8506271472916491,0.4369523123194223,-0.29241431744902835,-0.46198121430348765,-0.8866878042351911,0.018923410137994714
96,96,True,,1071.8800195148406,-377.95984510494753,1018.3360008590021,-0.24560335135196926,0.1625277279282679,0.9556483304328826,-0.854460579547016,0.4292775163592495,-0.2926054202310885,-0.4577948359307461,-0.8884286980973258,0.03344153992016605
97,97,True,,1073.877317476018,-378.81613245318704,1017.413174997334,-0.24153254098482635,0.17260595065433215,0.9549184349692531,-0.8614456592043962,0.4148868464519532,-0.29288270839886876,-0.44673639641663015,-0.8933510454686151,0.04848197269930091
98,98,True,,1075.193411168964,-384.33111488010746,1016.2633220919839,-0.24107848245071314,0.17994965172836927,0.9536767209815387,-0.878713967538882,0.3766857459419928,-0.2932057503805154,-0.41199869969617364,-0.9086946525907166,0.06731344443496493
99,99,True,,1076.3675383774,-388.699916473708,1015.5069702088704,-0.24097504065066588,0.18657378230636557,0.952429133079888,-0.8920982382217378,0.343898434038291,-0.29307780609879497,-0.38221952219252425,-0.92028478789009,0.08357120337179724
100,100,True,,1078.1071648375573,-388.1406874354002,1014.9539564207831,-0.23801095329729266,0.19542930183605284,0.9513980103481334,-0.89496751793477,0.3364281646788707,-0.2930003956524353,-0.3773379492605945,-0.9212076193750678,0.0948292890046606
